objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
quack-close,https://www.npr.org/player/embed/1137508/137508,,,"Audio: ""Quackery Museum Closes""",Liane Hansen;National Public Radio,2002-02-04,"Liane Hansen talks with Bob McCoy, founder of the Museum of Questionable Medical Devices in Minneapolis, about packing up the last of the exhibits. Heard on All Things Considered.",Museum;Press,NPR,,,,,Sound,application/http,eng,,,https://www.npr.org/2002/02/04/1137508/quackery-museum-closes
mccoy-obit,https://www.legacy.com/us/obituaries/legacyremembers/robert-mccoy-obituary?id=23254340#obituary,,,Bob McCoy's Obituary,Legacy Remembers,2010-05-26,"Obituary for Robert Wilson ""Bob"" McCoy, 83, which mentions his work with the Museum among other life pursuits.",Obituary;Press,Legacy Remembers,,,,,Text,application/http,eng,,,
mccoy-quackgallery,,80dZ71Km6_g,,"Video: ""Quackery Gallery""",Museum of Quackery YouTube,1996,"A clip about Phrenology, the pseudo-science of reading the shape of the skull to determine one's character, and the 1927 Psycograph machine. ",Museum;Psychograph,YouTube,,,,,MovingImage,video/vnd.youtube.yt,eng,,,
mccoy-latenightconan,,xWne6Cp6d8k,,"Video: ""Bob McCoy on Late Night with Conan O'Brien""",Museum of Quackery YouTube,1998-07-24,"McCoy demonstrates several items from his collection of Quack Medical Devices, including the Phrenology Machine, Prostate Gland Warmer, Foot-operated Breast Enlarger, Nose Straightener, Blud-Rub hair grower, Solarama Bed Board, and more!",Psychograph;Television,YouTube,,,,,MovingImage,video/vnd.youtube.yt,eng,,,
mccoy-retire,,tnR9espZcGg,,"Video: ""Bob McCoy Retires from the Museum of Questionable Medical Devices""",Museum of Quackery YouTube,2002-01,WCCO 4 News reporter Rick Fuentes visits Bob McCoy as he closes the doors to the St. Anthony Main location of The Museum of Questionable Medical Devices.,Museum;Press,Youtube,,,,,MovingImage,video/vnd.youtube.yt,eng,,,
quack-abc,quack-abc.pdf,,,Bob McCoy Warns of Quackery,ABC News,2001-04-03,,Museum;Press,ABC,,,,,Text,application/pdf,eng,,,https://abcnews.com/GMA/story?id=127100&page=1
quack-voa,quack-voa.pdf,,,U.S. Museum Showcases Medical Quackery,Voice of America News,2001-08-22,"Profile on the Museum of Questionable Medical Devices, featuring an interview with associate curator James Satter. ",Museum;Press,VOA,,,,,Text,application/pdf,eng,,,www.voanews.com/a/a-13-a-2001-08-22-21-us/391786.html
quack-nyt,https://nyti.ms/3QRaIvM,,,A Museum With Cure for Every Ill But Naïveté,Tamar Lewin;New York Times,1998-07-10,Profile on the Museum of Questionable Medical Devices. Link only active with a New York Times subscription.,Museum;Press,New York Times,,,,,Text,application/http,eng,,,https://www.nytimes.com/1998/07/10/us/minneapolis-journal-a-museum-with-a-cure-for-every-ill-but-naivete.html
mccoy-startribobit,mccoy-startribobit.pdf,,,Robert McCoy Never Feared Controversy,Jim Adams;Star Tribune,2010-06-01,"McCoy, of Golden Valley, was a proponent of prison reform, abortion rights and skepticism. ",Press;Obituary,Star Tribune,,,,,Text,application/pdf,eng,,,https://www.startribune.com/robert-mccoy-never-feared-controversy/95284089
quack-tour,https://dn710805.ca.archive.org/0/items/MedicalDevicesMuseum/%20Medical%20Devices%20Museum.m4v,,,"Video: ""The Museum of Questionable Medical Devices Tour, 1996""",Demolition Kitchen Media,1996,"The Museum of Questionable Medical Devices was formerly housed in an old shopping mall in Minneapolis. In 1996 a friend of mine took me to the museum and the proprietor, owner, and curator Bob McCoy was on hand to give us a guided tour of his collection. This is the raw footage of a walk-through with Bob, shot before he passed away, and the collection we donated to the Science Museum in St. Paul.",Museum,Internet Archive,,,,,MovingImage,application/http,eng,CC PDM 1.0,https://creativecommons.org/publicdomain/mark/1.0/,
mccoy-todayshow,,WmW4wfxcDa4,,"Video: ""Willard Scott gets a Phrenology Reading""",Museum of Quackery YouTube,1987-05-20,Bob McCoy from The Museum of Questionable Medical Devices demonstrates an antique phrenology machine on Willard Scott during The Today Show broadcast live from the Twin Cities.,Psychograph;Television,YouTube,,,,,MovingImage,video/vnd.youtube.yt,eng,,,
quack-mondodiablo,,bBahCiEjXUo,,"Audio: ""Mondo Diablo Episode 312 - Bob McCoy’s Museum of Quackery""",Hellbound Alleee,2011-06-08,"Mondo Diablo was a podcast of strange and wonderful music run by Hellbound Alleee (Alison Randall) from 2006 to 2014. She discusses McCoy during her spoken segments, but most of it was dedicated to music or spoken word.",Museum,YouTube,,,,,Sound,video/vnd.youtube.yt,eng,,,https://hellboundalleee.blogspot.com/2011/06/mondo-diablo-episode-312-bob-mccoys.html
quack-barb,https://flic.kr/p/5rVrY,,,"Photo: ""Barb Listening to the Results""",Andrew Kuchling,2001-09-07,Bob McCoy reads the results of a visitor's [Barb] psychograph test.,Museum;Psychograph,Flickr,,,,,Image,application/http,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/deed.en,https://flic.kr/p/5rVrY
quack-pbs,https://player.pbs.org/viralplayer/3032281824/,,,"Video: ""Museum of Questionable Medical Devices - Only in Minnesota""",Louie Anderson,1993-11-30,Bob McCoy likes to collect things that deceive people. These dangerous medical devices took advantage of people... and their money.,Museum;Press,PBS,,,,,MovingImage,application/http,eng,,,https://www.pbs.org/video/museum-of-questionable-medical-devices-16671/
quack-bbc,http://news.bbc.co.uk/2/hi/health/3022930.stm,,,Museum of Health Madness,Martin Hutchinson,2003-07-07,"Profile on the Museum of Questionable Medical Devices, featuring an interview with curator Bob McCoy.",Museum;Press,BBC,,,,,Text,application/http,eng,,,http://news.bbc.co.uk/2/hi/health/3022930.stm
quack-web,https://museumofquackery.com/index.htm,,,Museum of Questionable Medical Devices,Bob McCoy;James Satter,2017-01-13,"MQMD website, featuring links to information about some quack devices and information about Bob and his various press appearances.",Museum,Museum of Questionable Medical Devices,,,,,Text,application/http,eng,,,https://museumofquackery.com/index.htm
quack-ledger,https://news.google.com/newspapers?id=_r4wAAAAIBAJ&sjid=f_0DAAAAIBAJ&pg=4309%2C5141852,,,Quackery: Distrust of Medical Profession Leads Many to Try Questionable Cures,Julie Sevrens Lyons;San Jose Mercury News,2001-03-06,Article on the rise of medical quackery in the United States. Second page (continued on D2) profiles McCoy and the Museum of Questionable Medical Devices. ,Museum;Press,Lakeland Ledger,,,,,Text,application/http,eng,,,https://news.google.com/newspapers?id=_r4wAAAAIBAJ&sjid=f_0DAAAAIBAJ&pg=4309%2C5141852
quack-calhoun,https://news.google.com/newspapers?id=YHgwAAAAIBAJ&sjid=0DoDAAAAIBAJ&pg=6490%2C9666487,,,"""Medical Chicanery and Mayhem:"" Minneapolis Man Says He Has ""Greatest Collection"" of Historic Medical Devices ",James Romenesko,1999-06-30,"Profile of McCoy and his Museum of Questionable Medical Devices, featuring narrative on the acquisition of the archive and his appearance on the David Letterman show.",Museum;Press,Calhoun Times,,,,,Text,application/http,eng,,,
mccoy-beaverco,https://news.google.com/newspapers?id=wahUAAAAIBAJ&sjid=kjsNAAAAIBAJ&pg=3012%2C2917008,,,Whacked-out Cures: Health Officials Warned About Quack Devices,Associated Press,1995-06-13,Profile of McCoy following his appearance at the University of Pittsburgh to speak on quack medical devices to health professionals searching for alternative AIDS and cancer treatments. ,Press,Beaver County Times,,,,,Text,application/http,eng,,,
mccoy-letterman,https://www.dailymotion.com/video/x5xfs17,,,Video: Bob McCoy Appears on David Letterman's The Late Show,AntoniaElena85440015,1996-11-07,"Partial Letterman show, the only appearance McCoy makes on The Late Show after Letterman switched networks. ",Psychograph;Television,DailyMotion,,,,,MovingImage,application/http,eng,,,
mccoy-latenightletterman,,7bp1H_zh30I,,"Video: ""Bob McCoy on Late Night""",Museum of Quackery YouTube,1987-06-06,"Bob McCoy, curator of The Museum of Questionable Medical Devices, demonstrates items from his collection on Late Night With David Letterman, including the Phrenology Machine, Electric Belt, Violet Ray Generator, Vision Dieter Sunglasses, Blud-Rub hair growth scalp massager, ""Cool Pate"" brain cooler, and foot pump breast enlarger!",Psychograph;Television,YouTube,,,,,MovingImage,video/vnd.youtube.yt,eng,,,https://www.youtube.com/watch?v=7bp1H_zh30I